Source Tissue Type,Target Destination Type,Source Order,Destination Order,Euclidean Distance,Distance Index
TE,TE,6,25,116.8166019,0.268494668
TE,ICM,6,26,111.050881,0.304599601
TE,TE,6,27,148.927013,0.067419336
TE,TE,6,28,139.7395189,0.124951407
TE,ICM,6,29,93.79382081,0.412663278
TE,ICM,6,30,135.0815332,0.154119704
TE,TE,6,31,139.9533059,0.123612673
TE,TE,6,32,127.6782941,0.200478773
TE,TE,6,33,131.4091903,0.177115908
TE,ICM,6,34,98.11551524,0.385600836
TE,ICM,6,35,105.1916674,0.341289985
TE,TE,6,36,68.5391605,0.570807911
TE,TE,6,37,135.4735513,0.151664887
TE,TE,6,38,91.67277982,0.425945232
TE,TE,6,39,135.9840882,0.148467906
TE,ICM,6,40,138.8866014,0.130292374
TE,TE,6,41,98.28883774,0.384515491
TE,TE,6,42,102.7470494,0.356598178
TE,ICM,6,43,90.38955793,0.433980765
TE,ICM,6,44,112.3932333,0.296193793
TE,TE,6,45,101.1137102,0.366826145
TE,ICM,6,46,87.81894962,0.45007791
TE,ICM,6,47,122.7402202,0.231400982
TE,ICM,6,48,123.5140998,0.226554949
TE,TE,6,49,86.06906379,0.461035691
TE,ICM,6,50,138.2615374,0.134206524
TE,ICM,6,51,133.4187151,0.164532267
TE,TE,6,52,108.0798896,0.323203943
TE,TE,6,53,50.66830686,0.682715162
TE,ICM,6,54,125.6054027,0.213459215
TE,TE,6,55,109.7372278,0.312825695
TE,TE,6,56,155.2121645,0.02806173
TE,ICM,6,57,108.634695,0.319729753
TE,TE,6,58,45.08403168,0.717683882
TE,ICM,6,59,137.9420556,0.136207118
TE,ICM,6,60,121.7450083,0.237632997
TE,ICM,6,61,102.9293556,0.355456577
TE,ICM,6,62,112.6317114,0.294700444
TE,TE,6,63,71.40757446,0.552845909
TE,TE,7,0,71.14013466,0.554520616
TE,TE,7,1,122.228336,0.234606399
TE,TE,7,2,74.06727654,0.53619086
TE,TE,7,3,36.94309998,0.76866238
TE,TE,7,4,131.1024668,0.17903661
TE,TE,7,5,109.3780471,0.315074883
TE,TE,7,6,106.316762,0.334244645
TE,TE,7,7,0,1
TE,TE,7,8,45.73417848,0.713612664
TE,TE,7,9,140.9723161,0.117231633
TE,TE,7,10,142.2446506,0.109264277
TE,TE,7,11,103.7322809,0.35042866
TE,TE,7,12,120.3250886,0.246524531
TE,TE,7,13,140.0501439,0.123006273
TE,TE,7,14,63.49074537,0.602421077
TE,TE,7,15,146.60851,0.081937798
TE,TE,7,16,71.65825511,0.551276147
TE,TE,7,17,127.5946271,0.201002695
TE,TE,7,18,60.26385451,0.622627861
TE,TE,7,19,97.29998861,0.390707662
TE,TE,7,20,151.4499275,0.051620851
TE,TE,7,21,117.7839151,0.262437355
TE,TE,7,22,111.6831757,0.300640172
TE,TE,7,23,150.7528597,0.055985888
TE,ICM,7,24,94.77969105,0.40648976
TE,TE,7,25,75.93185927,0.524514846
TE,ICM,7,26,123.4926953,0.226688984
TE,TE,7,27,130.8657464,0.180518953
TE,TE,7,28,146.4427906,0.082975533
TE,ICM,7,29,110.0933141,0.310595883
TE,ICM,7,30,120.4278371,0.24588112
TE,TE,7,31,89.06922596,0.442248682
TE,TE,7,32,104.026348,0.348587213
TE,TE,7,33,136.074109,0.147904196
TE,ICM,7,34,118.4395425,0.258331817
TE,ICM,7,35,130.1322438,0.185112144
TE,TE,7,36,146.097522,0.085137604
TE,TE,7,37,133.6621989,0.163007573
TE,TE,7,38,146.3090607,0.083812949
TE,TE,7,39,137.2372783,0.140620432
TE,ICM,7,40,106.7357363,0.331621028
TE,TE,7,41,150.4406102,0.057941194
TE,TE,7,42,91.93091698,0.424328778
TE,ICM,7,43,128.2241881,0.197060386
TE,ICM,7,44,105.7152367,0.338011395
TE,TE,7,45,133.5443882,0.163745303
TE,ICM,7,46,141.7213069,0.112541454
TE,ICM,7,47,130.7277196,0.181383276
TE,ICM,7,48,124.9528305,0.21754562
TE,TE,7,49,99.79837157,0.375062793
TE,ICM,7,50,117.0103174,0.267281622
TE,ICM,7,51,99.11789395,0.379323942
TE,TE,7,52,146.9186711,0.079995569
TE,TE,7,53,123.0433471,0.229502802
TE,ICM,7,54,115.8136661,0.27477505
TE,TE,7,55,114.5842898,0.282473402
TE,TE,7,56,93.45058081,0.414812646
TE,ICM,7,57,123.8616978,0.224378291
TE,TE,7,58,83.19195174,0.479052161
TE,ICM,7,59,107.4449624,0.327179856
TE,ICM,7,60,144.1565577,0.097291918
TE,ICM,7,61,138.8379301,0.130597154
TE,ICM,7,62,113.1887385,0.291212341
TE,TE,7,63,136.7038221,0.143960934
TE,TE,8,0,98.18756632,0.385149652
TE,TE,8,1,121.3565751,0.240065364
TE,TE,8,2,51.60143241,0.676871931
TE,TE,8,3,76.85793966,0.518715732
TE,TE,8,4,148.2837047,0.071447732
TE,TE,8,5,86.65624997,0.457358733
TE,TE,8,6,136.8438547,0.14308405
TE,TE,8,7,45.73417848,0.713612664
TE,TE,8,8,0,1
TE,TE,8,9,130.1681647,0.184887208
TE,TE,8,10,146.0948809,0.085154142
